origem,destinho,distancia KM,distancia M
Macapá,Santana,23,23000
Macapá,Cutias,139,139000
Macapá,Itaubal,102,102000
Macapá,Porto Grande,112,112000
Macapá,Mazagão,36,36000
Santana,Mazagão,25,25000
Santana,Laranjal do Jari,279,279000
Porto Grande,Ferreira Gomes,37,37000
Porto Grande,Pedra Branca do Amapari,75,75000
Pedra Branca do Amapari,Serra do Navio,21,21000
Ferreira Gomes,Tartarugalzinho,97,97000
Tartarugalzinho,Amapá,45,45000
Tartarugalzinho,Pracuuba,43,43000
Amapá,Calçoene,122,122000
Calçoene,Oiapoque,219,219000
